Country,State,Latitude (generated),Longitude (generated),Profit
United States,Wyoming,43,-107.5,$100
United States,Wisconsin,44.5,-90,"$8,402"
United States,West Virginia,38.63,-80.73,$186
United States,Washington,47.5,-120.5,"$33,403"
United States,Virginia,37.77,-78.24,"$18,598"
United States,Vermont,44.1584,-72.7678,"$2,245"
United States,Utah,39.25,-111.75,"$2,547"
United States,Texas,31.25,-99.25,"-$25,729"
United States,Tennessee,35.75,-86.25,"-$5,342"
United States,South Dakota,44.5,-100.25,$395
United States,South Carolina,34,-81,"$1,769"
United States,Rhode Island,41.4966,-71.4757,"$7,286"
United States,Pennsylvania,40.86,-77.9,"-$15,560"
United States,Oregon,44,-120.5,"-$1,190"
United States,Oklahoma,35.5,-97.5,"$4,854"
United States,Ohio,40.25,-83,"-$16,971"
United States,North Dakota,47.5,-100,$230
United States,North Carolina,35.5,-80,"-$7,491"
United States,New York,43,-75.49,"$74,039"
United States,New Mexico,34.5,-106,"$1,157"
United States,New Jersey,40.16,-74.49,"$9,773"
United States,New Hampshire,43.66,-71.49,"$1,707"
United States,Nevada,39.25,-116.75,"$3,317"
United States,Nebraska,41.5,-99.75,"$2,037"
United States,Montana,47,-109.75,"$1,833"
United States,Missouri,38.25,-92.5,"$6,436"
United States,Mississippi,33.503,-89.8071,"$3,173"
United States,Minnesota,46.25,-94.25,"$10,823"
United States,Michigan,43.1045,-84.6165,"$24,463"
United States,Massachusetts,42.3616,-72.1839,"$6,786"
United States,Maryland,39.4444,-77.0834,"$7,031"
United States,Maine,45.5,-69.24,$454
United States,Louisiana,30.6935,-92.241,"$2,196"
United States,Kentucky,37.79,-84.87,"$11,200"
United States,Kansas,38.5,-98.5,$836
United States,Iowa,42,-93.5,"$1,184"
United States,Indiana,40,-86.25,"$18,383"
United States,Illinois,40,-89.25,"-$12,608"
United States,Idaho,44.0739,-114.542,$827
United States,Georgia,32.1598,-83.4715,"$16,250"
United States,Florida,28.42,-81.55,"-$3,399"
United States,District of Columbia,38.91,-77,"$1,060"
United States,Delaware,38.6716,-75.4165,"$9,977"
United States,Connecticut,41.6227,-72.7028,"$3,511"
United States,Colorado,39,-105.5,"-$6,528"
United States,California,37.25,-119.75,"$76,381"
United States,Arkansas,34.75,-92.5,"$4,009"
United States,Arizona,34.5,-111.5,"-$3,428"
United States,Alabama,32.75,-86.75,"$5,787"
